_passName,_successfulAttempts,_totalAttempts,_removedBytes,_removedTokens,_removedNames
Functions.rmvUnusedParams,1,21,-22,-5,-3
Functions:inline,0,5,0,0,0
etaReduceMatches,0,5,0,0,0
expr2Undefined,2,412,9,0,1
filterExprSubList,17,46,-17153,-34,0
formatting,1,1,-4,0,0
localBinds,2,32,-66,-14,-6
mkExportsExplicit,1,1,55,7,3
pat2Wildcard,2,37,-6,0,-2
pragmas,0,2,0,0,0
rmvDecls,0,27,0,0,0
rmvExports,2,6,-34,-4,-2
rmvImports,0,10,0,0,0
rmvMatches,1,41,-26,-7,-3
rmvRHSs,0,46,0,0,0
rmvSigs,3,3,-74,-20,-7
simplifyExpr,0,292,0,0,0
splitSigs,0,9,0,0,0
type2Unit,1,16,-2,1,-1
type2WildCard,0,19,0,0,0
unqualImport,0,10,0,0,0
